what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433866809614
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433866810504
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433866830569
error,log,,,"SOPC design not set.",1433866830702
error,log,,,"CPU module not set.",1433866830710
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433866830718
error,log,,,"CPU architecture type not set. ",1433866830724
error,log,,,"CPU master group not set.",1433866830733
error,log,,,"SOPC design not set.",1433866830770
error,log,,,"CPU module not set.",1433866830775
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433866830783
error,log,,,"CPU architecture type not set. ",1433866830789
error,log,,,"CPU master group not set.",1433866830794
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433866831990
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433866834384
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433866840902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433866909099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433866914432
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433866916422
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433866917556
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1433866920008
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1433866920578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1433866920808
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1433866921018
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1433866921208
