what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431438085099
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431438086093
error,log,,,"SOPC design not set.",1431438086156
error,log,,,"CPU module not set.",1431438086177
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431438086183
error,log,,,"CPU architecture type not set. ",1431438086190
error,log,,,"CPU master group not set.",1431438086196
error,log,,,"SOPC design not set.",1431438086240
error,log,,,"CPU module not set.",1431438086243
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431438086248
error,log,,,"CPU architecture type not set. ",1431438086268
error,log,,,"CPU master group not set.",1431438086268
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431438086365
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1431438089969
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431438096526
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431438309277
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1431438318293
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1431438318335
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1431438318466
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1431438335506
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1431438344745
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431438354961
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1431438372756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1431438372825
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1431438372830
